NET	The total number of nets: 3153
	0,20,17
	0,17,20
	0,22,17
	0,17,20
net602	The number of pins: 4
	0,27,9
	0,27,9
	0,27,11
	0,26,10
net603	The number of pins: 4
	0,29,9
	0,26,9
	0,27,10
	0,26,22
net604	The number of pins: 4
	0,25,21
	0,27,17
	0,25,22
	0,27,22
net605	The number of pins: 4
	0,27,21
	0,25,19
	0,23,21
	0,25,19
net606	The number of pins: 4
	0,27,23
	0,25,23
	0,30,23
	0,39,25
net607	The number of pins: 4
	0,28,40
	0,21,41
	0,27,40
	0,27,40
net608	The number of pins: 4
	0,22,35
	0,20,40
	0,21,39
	0,18,45
net609	The number of pins: 4
	0,16,45
	0,16,45
	0,15,46
	0,16,47
net610	The number of pins: 4
	0,15,47
	0,14,47
	0,14,50
	0,13,51
net611	The number of pins: 4
	0,12,51
	0,13,52
	0,9,52
	0,12,53
net612	The number of pins: 4
	0,8,50
	0,8,51
	0,8,52
	0,7,52
net613	The number of pins: 4
	0,8,52
	0,8,53
	0,6,51
	0,6,52
net614	The number of pins: 4
	0,14,30
	0,14,38
	0,10,41
	0,10,40
net615	The number of pins: 4
	0,12,36
	0,11,36
	0,12,35
	0,11,37
net616	The number of pins: 4
	0,19,33
	0,12,35
	0,17,36
	0,10,36
net617	The number of pins: 4
	0,31,22
	0,29,30
	0,18,33
	0,19,33
net618	The number of pins: 3
	0,30,26
	0,45,25
	0,31,26
net619	The number of pins: 4
	0,28,25
	0,30,25
	0,30,25
	0,30,26
net620	The number of pins: 4
	0,30,27
	0,31,29
	0,30,29
	0,31,35
net621	The number of pins: 4
	0,18,41
	0,29,41
	0,29,42
	0,26,41
net622	The number of pins: 4
	0,26,37
	0,25,36
	0,25,42
	0,25,43
net623	The number of pins: 4
	0,18,30
	0,14,31
	0,12,33
	0,11,33
net624	The number of pins: 4
	0,34,14
	0,36,14
	0,33,20
	0,37,15
net625	The number of pins: 4
	0,33,14
	0,33,14
	0,32,14
	0,32,17
net626	The number of pins: 4
	0,31,18
	0,31,18
	0,30,18
	0,30,18
net627	The number of pins: 4
	0,34,40
	0,35,47
	0,35,46
	0,35,45
net628	The number of pins: 4
	0,33,40
	0,34,45
	0,33,45
	0,34,50
net629	The number of pins: 4
	0,33,49
	0,33,50
	0,33,49
	0,33,50
net630	The number of pins: 4
	0,32,50
	0,31,51
	0,31,51
	0,32,53
net631	The number of pins: 4
	0,30,52
	0,26,52
	0,32,53
	0,32,55
net632	The number of pins: 4
	0,31,55
	0,31,54
	0,24,55
	0,35,55
net633	The number of pins: 4
	0,34,55
	0,36,55
	0,34,55
	0,41,55
net634	The number of pins: 4
	0,37,50
	0,38,49
	0,37,49
	0,38,49
net635	The number of pins: 4
	0,38,48
	0,36,50
	0,37,48
	0,36,49
net636	The number of pins: 4
	0,40,45
	0,37,46
	0,38,47
	0,37,48
net637	The number of pins: 4
	0,27,13
	0,27,11
	0,29,11
	0,25,14
net638	The number of pins: 4
	0,28,10
	0,28,11
	0,25,11
	0,28,11
net639	The number of pins: 4
	0,27,11
	0,28,12
	0,30,12
	0,27,14
net640	The number of pins: 4
	0,31,10
	0,29,11
	0,31,10
	0,27,12
net641	The number of pins: 4
	0,30,10
	0,29,11
	0,31,11
	0,28,14
net642	The number of pins: 4
	0,16,35
	0,17,36
	0,27,37
	0,16,41
net643	The number of pins: 4
	0,33,39
	0,15,40
	0,15,41
	0,16,44
net644	The number of pins: 4
	0,15,43
	0,15,45
	0,15,44
	0,17,53
net645	The number of pins: 4
	0,15,52
	0,17,53
	0,15,50
	0,17,54
net646	The number of pins: 4
	0,16,54
	0,18,54
	0,11,53
	0,18,54
net647	The number of pins: 4
	0,10,52
	0,9,50
	0,9,53
	0,9,52
net648	The number of pins: 4
	0,8,53
	0,8,53
	0,9,53
	0,8,52
net649	The number of pins: 4
	0,30,37
	0,34,38
	0,29,38
	0,33,37
net650	The number of pins: 4
	0,29,37
	0,29,37
	0,28,38
	0,23,38
net651	The number of pins: 4
	0,22,38
	0,22,37
	0,22,37
	0,15,39
net652	The number of pins: 4
	0,26,36
	0,31,42
	0,31,41
	0,25,42
net653	The number of pins: 4
	0,27,20
	0,44,23
	0,38,21
	0,38,23
net654	The number of pins: 4
	0,22,24
	0,20,26
	0,25,26
	0,24,26
net655	The number of pins: 4
	0,25,24
	0,25,24
	0,24,25
	0,24,40
net656	The number of pins: 4
	0,24,23
	0,26,23
	0,24,24
	0,24,23
net657	The number of pins: 3
	0,23,21
	0,19,22
	0,17,23
net658	The number of pins: 4
	0,18,24
	0,14,23
	0,17,24
	0,14,22
net659	The number of pins: 4
	0,27,24
	0,27,27
	0,27,29
	0,27,30
net660	The number of pins: 4
	0,25,23
	0,26,24
	0,24,23
	0,22,24
net661	The number of pins: 4
	0,21,23
	0,22,24
	0,21,24
	0,21,35
net662	The number of pins: 4
	0,27,26
	0,26,27
	0,27,27
	0,26,27
net663	The number of pins: 4
	0,18,14
	0,18,15
	0,20,15
	0,20,14
net664	The number of pins: 4
	0,19,35
	0,20,38
	0,26,38
	0,18,39
net665	The number of pins: 4
	0,23,38
	0,16,39
	0,22,41
	0,15,44
net666	The number of pins: 4
	0,13,43
	0,13,43
	0,13,43
	0,15,45
net667	The number of pins: 4
	0,9,42
	0,12,43
	0,12,43
	0,7,42
net668	The number of pins: 3
	0,9,42
	0,10,50
	0,11,49
net669	The number of pins: 4
	0,11,50
	0,9,49
	0,7,49
	0,8,50
net670	The number of pins: 4
	0,4,46
	0,8,47
	0,8,49
	0,6,49
net671	The number of pins: 4
	0,3,40
	0,3,45
	0,3,46
	0,2,46
net672	The number of pins: 4
	0,18,38
	0,17,38
	0,18,38
	0,16,37
net673	The number of pins: 4
	0,16,37
	0,32,39
	0,17,38
	0,17,39
net674	The number of pins: 4
	0,39,18
	0,41,20
	0,38,18
	0,37,20
net675	The number of pins: 4
	0,35,17
	0,36,18
	0,36,18
	0,36,18
net676	The number of pins: 4
	0,37,19
	0,34,18
	0,34,18
	0,33,19
net677	The number of pins: 4
	0,36,21
	0,36,22
	0,35,21
	0,39,20
net678	The number of pins: 4
	0,38,19
	0,38,20
	0,41,20
	0,37,21
net679	The number of pins: 4
	0,39,19
	0,31,20
	0,45,20
	0,40,19
net680	The number of pins: 4
	0,31,37
	0,32,39
	0,32,38
	0,34,41
net681	The number of pins: 4
	0,32,40
	0,32,40
	0,33,41
	0,34,47
net682	The number of pins: 4
	0,23,46
	0,32,46
	0,32,46
	0,34,51
net683	The number of pins: 4
	0,32,51
	0,32,51
	0,34,53
	0,34,51
net684	The number of pins: 4
	0,32,52
	0,33,53
	0,34,54
	0,32,53
net685	The number of pins: 4
	0,33,54
	0,32,54
	0,34,54
	0,32,53
net686	The number of pins: 4
	0,39,48
	0,42,51
	0,39,51
	0,39,51
net687	The number of pins: 4
	0,40,49
	0,39,48
	0,38,48
	0,39,48
net688	The number of pins: 4
	0,40,50
	0,39,47
	0,39,49
	0,37,46
net689	The number of pins: 4
	0,30,34
	0,31,39
	0,32,40
	0,28,40
net690	The number of pins: 4
	0,32,39
	0,31,40
	0,32,41
	0,30,40
net691	The number of pins: 4
	0,33,38
	0,30,39
	0,31,39
	0,35,39
net692	The number of pins: 4
	0,21,49
	0,31,48
	0,19,50
	0,19,51
net693	The number of pins: 4
	0,34,39
	0,33,41
	0,35,40
	0,35,40
net694	The number of pins: 4
	0,32,39
	0,34,40
	0,33,39
	0,36,41
net695	The number of pins: 4
	0,49,29
	0,50,29
	0,50,35
	0,50,37
net696	The number of pins: 4
	0,51,25
	0,41,25
	0,48,26
	0,48,26
net697	The number of pins: 4
	0,36,35
	0,35,36
	0,35,34
	0,35,42
net698	The number of pins: 4
	0,25,31
	0,34,34
	0,34,35
	0,35,34
net699	The number of pins: 4
	0,34,35
	0,33,34
	0,34,36
	0,33,35
net700	The number of pins: 4
	0,35,36
	0,36,37
	0,34,38
	0,35,37
net701	The number of pins: 4
	0,35,36
	0,35,35
	0,34,37
	0,35,37
net702	The number of pins: 4
	0,39,27
	0,34,36
	0,35,35
	0,35,41
net703	The number of pins: 4
	0,33,18
	0,34,17
	0,33,19
	0,33,21
net704	The number of pins: 4
	0,33,17
	0,33,18
	0,33,16
	0,33,20
net705	The number of pins: 4
	0,32,18
	0,30,18
	0,30,19
	0,23,19
net706	The number of pins: 4
	0,24,37
	0,32,37
	0,32,40
	0,24,41
net707	The number of pins: 4
	0,37,14
	0,37,15
	0,35,15
	0,32,20
net708	The number of pins: 4
	0,36,15
	0,33,15
	0,36,15
	0,33,19
net709	The number of pins: 4
	0,40,9
	0,38,9
	0,41,9
	0,41,9
net710	The number of pins: 4
	0,35,21
	0,37,20
	0,38,20
	0,36,21
net711	The number of pins: 4
	0,38,19
	0,38,20
	0,36,20
	0,36,20
net712	The number of pins: 4
	0,28,9
	0,33,11
	0,33,11
	0,27,15
net713	The number of pins: 4
	0,31,9
	0,31,10
	0,31,11
	0,26,14
net714	The number of pins: 4
	0,32,12
	0,33,13
	0,33,12
	0,27,14
net715	The number of pins: 4
	0,33,12
	0,28,13
	0,32,12
	0,25,13
net716	The number of pins: 4
	0,33,27
	0,36,27
	0,40,28
	0,37,29
net717	The number of pins: 4
	0,31,27
	0,34,27
	0,32,27
	0,33,27
net718	The number of pins: 4
	0,27,18
	0,31,27
	0,34,29
	0,38,29
net719	The number of pins: 3
	0,39,28
	0,40,32
	0,42,29
net720	The number of pins: 4
	0,44,52
	0,45,53
	0,46,53
	0,47,53
net721	The number of pins: 4
	0,46,52
	0,46,53
	0,45,54
	0,45,54
net722	The number of pins: 4
	0,32,27
	0,39,44
	0,34,52
	0,38,52
net723	The number of pins: 4
	0,45,45
	0,50,45
	0,49,45
	0,45,44
net724	The number of pins: 4
	0,45,42
	0,44,40
	0,44,44
	0,44,45
net725	The number of pins: 4
	0,28,38
	0,43,42
	0,40,39
	0,41,41
net726	The number of pins: 4
	0,40,41
	0,40,43
	0,37,42
	0,27,41
net727	The number of pins: 4
	0,31,33
	0,32,33
	0,31,33
	0,28,40
net728	The number of pins: 4
	0,30,35
	0,31,33
	0,27,35
	0,34,33
net729	The number of pins: 4
	0,32,33
	0,35,32
	0,32,35
	0,32,36
net730	The number of pins: 4
	0,46,41
	0,45,39
	0,44,40
	0,46,41
net731	The number of pins: 4
	0,45,37
	0,44,39
	0,44,39
	0,44,39
net732	The number of pins: 4
	0,42,36
	0,43,36
	0,44,37
	0,44,37
net733	The number of pins: 4
	0,47,36
	0,41,36
	0,41,36
	0,36,37
net734	The number of pins: 4
	0,30,37
	0,29,38
	0,24,39
	0,30,38
net735	The number of pins: 4
	0,24,38
	0,29,38
	0,30,38
	0,32,38
net736	The number of pins: 4
	0,32,35
	0,31,38
	0,31,39
	0,31,44
net737	The number of pins: 4
	0,29,47
	0,29,44
	0,30,44
	0,29,47
net738	The number of pins: 4
	0,29,48
	0,28,47
	0,30,47
	0,30,48
net739	The number of pins: 4
	0,23,48
	0,21,50
	0,29,48
	0,28,48
net740	The number of pins: 4
	0,48,47
	0,33,48
	0,48,48
	0,59,46
net741	The number of pins: 4
	0,25,27
	0,28,38
	0,30,46
	0,28,30
net742	The number of pins: 4
	0,36,39
	0,36,38
	0,34,38
	0,37,38
net743	The number of pins: 4
	0,34,39
	0,36,39
	0,37,39
	0,35,38
net744	The number of pins: 4
	0,34,36
	0,35,39
	0,35,38
	0,36,39
net745	The number of pins: 4
	0,26,40
	0,31,41
	0,33,46
	0,31,45
net746	The number of pins: 4
	0,25,41
	0,29,41
	0,30,40
	0,29,40
net747	The number of pins: 4
	0,29,31
	0,29,41
	0,28,40
	0,33,51
net748	The number of pins: 4
	0,31,51
	0,31,51
	0,33,52
	0,31,52
net749	The number of pins: 3
	0,32,52
	0,33,53
	0,32,54
net750	The number of pins: 4
	0,26,54
	0,32,54
	0,32,54
	0,31,54
net751	The number of pins: 4
	0,37,50
	0,37,49
	0,37,50
	0,37,51
net752	The number of pins: 4
	0,37,48
	0,37,48
	0,35,50
	0,36,50
net753	The number of pins: 4
	0,36,47
	0,37,47
	0,36,48
	0,36,48
net754	The number of pins: 4
	0,28,30
	0,32,35
	0,33,30
	0,39,40
net755	The number of pins: 4
	0,42,20
	0,37,20
	0,37,21
	0,40,22
net756	The number of pins: 4
	0,36,18
	0,41,19
	0,41,21
	0,41,19
net757	The number of pins: 4
	0,37,18
	0,38,18
	0,28,18
	0,27,18
net758	The number of pins: 4
	0,26,34
	0,29,35
	0,28,34
	0,27,41
net759	The number of pins: 4
	0,24,37
	0,28,38
	0,35,41
	0,32,42
net760	The number of pins: 4
	0,33,20
	0,34,24
	0,34,24
	0,33,23
net761	The number of pins: 4
	0,33,24
	0,36,25
	0,36,24
	0,33,25
net762	The number of pins: 4
	0,31,26
	0,31,29
	0,30,27
	0,32,33
net763	The number of pins: 4
	0,30,26
	0,37,28
	0,38,30
	0,36,29
net764	The number of pins: 4
	0,42,32
	0,43,30
	0,41,31
	0,42,31
net765	The number of pins: 4
	0,38,32
	0,40,29
	0,40,32
	0,38,32
net766	The number of pins: 4
	0,38,29
	0,39,29
	0,41,26
	0,38,31
net767	The number of pins: 4
	0,33,20
	0,41,23
	0,37,24
	0,41,24
net768	The number of pins: 4
	0,40,23
	0,40,23
	0,35,24
	0,36,24
net769	The number of pins: 4
	0,34,22
	0,39,22
	0,36,23
	0,42,25
net770	The number of pins: 4
	0,38,24
	0,35,23
	0,38,21
	0,33,23
net771	The number of pins: 4
	0,36,23
	0,37,24
	0,34,23
	0,44,26
net772	The number of pins: 4
	0,17,29
	0,11,29
	0,12,29
	0,17,29
net773	The number of pins: 4
	0,12,38
	0,23,39
	0,12,38
	0,14,39
net774	The number of pins: 4
	0,21,39
	0,13,39
	0,14,39
	0,13,45
net775	The number of pins: 4
	0,11,45
	0,12,46
	0,14,45
	0,13,47
net776	The number of pins: 4
	0,12,48
	0,11,47
	0,13,47
	0,13,47
net777	The number of pins: 4
	0,13,49
	0,11,46
	0,13,47
	0,12,50
net778	The number of pins: 4
	0,23,48
	0,11,50
	0,13,50
	0,10,48
net779	The number of pins: 4
	0,9,44
	0,8,48
	0,9,48
	0,9,48
net780	The number of pins: 4
	0,12,38
	0,14,39
	0,14,41
	0,21,40
net781	The number of pins: 4
	0,17,41
	0,13,41
	0,13,40
	0,12,45
net782	The number of pins: 4
	0,11,45
	0,13,45
	0,13,45
	0,11,46
net783	The number of pins: 4
	0,10,46
	0,15,45
	0,12,48
	0,13,49
net784	The number of pins: 4
	0,11,48
	0,13,49
	0,11,48
	0,10,48
net785	The number of pins: 4
	0,9,48
	0,9,47
	0,9,47
	0,11,47
net786	The number of pins: 4
	0,10,47
	0,10,47
	0,9,47
	0,14,48
net787	The number of pins: 4
	0,14,32
	0,10,46
	0,8,46
	0,12,38
net788	The number of pins: 4
	0,3,36
	0,5,36
	0,2,36
	0,11,33
net789	The number of pins: 4
	0,13,33
	0,10,33
	0,14,32
	0,14,33
net790	The number of pins: 4
	0,9,35
	0,8,37
	0,9,35
	0,10,36
net791	The number of pins: 4
	0,11,33
	0,10,35
	0,8,35
	0,12,34
net792	The number of pins: 4
	0,12,33
	0,11,34
	0,12,34
	0,14,38
net793	The number of pins: 4
	0,17,36
	0,20,38
	0,32,37
	0,18,42
net794	The number of pins: 4
	0,32,41
	0,17,42
	0,18,45
	0,19,42
net795	The number of pins: 4
	0,17,45
	0,16,47
	0,19,44
	0,13,46
net796	The number of pins: 3
	0,13,46
	0,13,47
	0,16,53
net797	The number of pins: 4
	0,15,53
	0,17,54
	0,15,54
	0,26,52
net798	The number of pins: 4
	0,16,54
	0,15,54
	0,13,54
	0,16,54
net799	The number of pins: 4
	0,12,49
	0,12,54
	0,14,54
	0,13,56
net800	The number of pins: 4
	0,11,39
	0,11,41
	0,21,40
	0,17,40
net801	The number of pins: 4
	0,22,44
	0,21,43
	0,21,43
	0,22,44
net802	The number of pins: 4
	0,20,44
	0,21,44
	0,21,44
	0,18,46
net803	The number of pins: 4
	0,16,46
	0,15,46
	0,16,46
	0,15,52
net804	The number of pins: 4
	0,14,52
	0,15,50
	0,15,53
	0,14,53
net805	The number of pins: 4
	0,12,52
	0,12,53
	0,13,50
	0,11,49
net806	The number of pins: 4
	0,8,50
	0,9,54
	0,9,49
	0,10,50
net807	The number of pins: 4
	0,12,36
	0,13,36
	0,12,37
	0,12,37
net808	The number of pins: 4
	0,18,36
	0,12,36
	0,12,36
	0,17,36
net809	The number of pins: 4
	0,22,37
	0,16,36
	0,18,37
	0,19,44
net810	The number of pins: 4
	0,22,37
	0,23,38
	0,21,40
	0,20,45
net811	The number of pins: 4
	0,21,27
	0,23,30
	0,23,31
	0,22,29
net812	The number of pins: 4
	0,17,21
	0,15,24
	0,13,24
	0,16,24
net813	The number of pins: 4
	0,14,20
	0,14,20
	0,16,21
	0,13,21
net814	The number of pins: 4
	0,18,23
	0,20,23
	0,18,24
	0,21,23
net815	The number of pins: 4
	0,18,43
	0,20,43
	0,24,45
	0,19,45
net816	The number of pins: 4
	0,18,45
	0,18,46
	0,21,45
	0,19,49
net817	The number of pins: 4
	0,18,49
	0,17,48
	0,16,49
	0,17,48
net818	The number of pins: 4
	0,15,49
	0,16,48
	0,15,48
	0,15,51
net819	The number of pins: 4
	0,11,49
	0,13,48
	0,13,51
	0,10,51
net820	The number of pins: 4
	0,8,51
	0,8,51
	0,8,51
	0,8,50
net821	The number of pins: 4
	0,9,49
	0,9,48
	0,7,50
	0,6,51
net822	The number of pins: 4
	0,16,33
	0,15,33
	0,14,35
	0,16,34
net823	The number of pins: 4
	0,15,32
	0,13,34
	0,15,34
	0,15,37
net824	The number of pins: 4
	0,26,40
	0,38,39
	0,29,39
	0,38,40
net825	The number of pins: 4
	0,23,38
	0,29,39
	0,30,39
	0,28,39
net826	The number of pins: 4
	0,31,36
	0,29,39
	0,30,39
	0,31,45
net827	The number of pins: 4
	0,30,45
	0,30,46
	0,31,46
	0,32,47
net828	The number of pins: 4
	0,23,48
	0,30,47
	0,30,48
	0,25,48
net829	The number of pins: 4
	0,27,30
	0,29,30
	0,29,31
	0,30,31
net830	The number of pins: 4
	0,34,31
	0,33,30
	0,34,30
	0,34,33
net831	The number of pins: 4
	0,31,30
	0,32,31
	0,32,30
	0,33,31
net832	The number of pins: 4
	0,34,43
	0,33,42
	0,32,43
	0,32,43
net833	The number of pins: 4
	0,34,32
	0,32,42
	0,33,43
	0,23,44
net834	The number of pins: 4
	0,32,30
	0,36,32
	0,32,33
	0,33,32
net835	The number of pins: 3
	0,36,32
	0,36,31
	0,35,48
net836	The number of pins: 4
	0,34,48
	0,33,49
	0,35,50
	0,29,54
net837	The number of pins: 4
	0,22,49
	0,34,49
	0,23,50
	0,34,49
net838	The number of pins: 4
	0,37,32
	0,37,32
	0,37,34
	0,33,38
net839	The number of pins: 4
	0,38,32
	0,36,33
	0,38,33
	0,36,31
net840	The number of pins: 4
	0,37,33
	0,36,33
	0,34,36
	0,38,36
net841	The number of pins: 4
	0,19,22
	0,15,22
	0,15,21
	0,16,21
net842	The number of pins: 4
	0,15,29
	0,12,30
	0,13,30
	0,14,30
net843	The number of pins: 3
	0,36,40
	0,36,41
	0,35,42
net844	The number of pins: 4
	0,34,42
	0,34,42
	0,36,42
	0,32,42
net845	The number of pins: 4
	0,40,37
	0,36,36
	0,37,38
	0,28,38
net846	The number of pins: 4
	0,37,35
	0,37,36
	0,35,36
	0,34,37
net847	The number of pins: 4
	0,43,30
	0,36,34
	0,37,35
	0,38,37
net848	The number of pins: 4
	0,27,27
	0,29,27
	0,30,27
	0,29,30
net849	The number of pins: 4
	0,25,40
	0,17,39
	0,15,38
	0,23,40
net850	The number of pins: 4
	0,25,38
	0,21,40
	0,23,40
	0,21,51
net851	The number of pins: 4
	0,18,52
	0,20,51
	0,22,51
	0,21,51
net852	The number of pins: 3
	0,20,51
	0,18,52
	0,19,53
net853	The number of pins: 4
	0,18,52
	0,18,53
	0,18,53
	0,20,56
net854	The number of pins: 4
	0,19,55
	0,24,55
	0,20,55
	0,19,55
net855	The number of pins: 4
	0,24,44
	0,25,44
	0,25,44
	0,24,45
net856	The number of pins: 4
	0,25,42
	0,25,44
	0,23,43
	0,25,44
net857	The number of pins: 4
	0,14,56
	0,12,53
	0,14,55
	0,16,57
net858	The number of pins: 4
	0,28,16
	0,24,15
	0,19,16
	0,26,17
net859	The number of pins: 4
	0,27,15
	0,27,16
	0,30,16
	0,26,17
net860	The number of pins: 4
	0,24,9
	0,24,9
	0,21,11
	0,21,11
net861	The number of pins: 4
	0,29,15
	0,29,13
	0,27,14
	0,27,14
net862	The number of pins: 4
	0,29,14
	0,28,13
	0,32,14
	0,28,13
net863	The number of pins: 4
	0,24,46
	0,23,46
	0,22,44
	0,22,47
net864	The number of pins: 3
	0,22,46
	0,22,47
	0,23,50
net865	The number of pins: 4
	0,22,51
	0,22,50
	0,21,50
	0,23,53
net866	The number of pins: 4
	0,22,52
	0,21,53
	0,24,53
	0,25,53
net867	The number of pins: 4
	0,24,53
	0,29,54
	0,26,53
	0,28,54
net868	The number of pins: 4
	0,26,54
	0,27,54
	0,26,54
	0,28,55
net869	The number of pins: 4
	0,27,55
	0,28,56
	0,30,56
	0,31,58
net870	The number of pins: 4
	0,29,58
	0,30,57
	0,29,59
	0,29,59
net871	The number of pins: 4
	0,24,43
	0,25,44
	0,25,45
	0,25,46
net872	The number of pins: 4
	0,24,42
	0,24,43
	0,23,43
	0,22,44
net873	The number of pins: 4
	0,26,44
	0,31,43
	0,33,45
	0,34,44
net874	The number of pins: 4
	0,29,45
	0,32,44
	0,33,45
	0,37,51
net875	The number of pins: 4
	0,32,49
	0,35,51
	0,34,51
	0,35,51
net876	The number of pins: 4
	0,34,51
	0,35,51
	0,33,51
	0,35,53
net877	The number of pins: 4
	0,34,53
	0,34,53
	0,34,54
	0,36,54
net878	The number of pins: 4
	0,32,53
	0,35,54
	0,36,54
	0,39,56
net879	The number of pins: 4
	0,42,54
	0,37,55
	0,39,56
	0,43,56
net880	The number of pins: 4
	0,39,51
	0,38,51
	0,39,51
	0,38,53
net881	The number of pins: 4
	0,37,47
	0,38,49
	0,37,51
	0,38,51
net882	The number of pins: 4
	0,34,46
	0,37,46
	0,37,47
	0,36,47
net883	The number of pins: 4
	0,22,19
	0,22,21
	0,21,21
	0,22,26
net884	The number of pins: 4
	0,21,21
	0,20,21
	0,26,29
	0,26,32
net885	The number of pins: 4
	0,42,24
	0,38,24
	0,38,24
	0,30,27
net886	The number of pins: 4
	0,24,12
	0,24,13
	0,25,11
	0,24,18
net887	The number of pins: 4
	0,24,10
	0,24,10
	0,25,10
	0,26,11
net888	The number of pins: 4
	0,23,10
	0,23,11
	0,25,12
	0,24,14
net889	The number of pins: 4
	0,23,9
	0,24,8
	0,25,9
	0,25,8
net890	The number of pins: 4
	0,26,12
	0,25,11
	0,26,13
	0,24,12
net891	The number of pins: 4
	0,23,12
	0,26,12
	0,25,14
	0,26,16
net892	The number of pins: 4
	0,28,41
	0,27,41
	0,24,42
	0,26,42
net893	The number of pins: 4
	0,24,41
	0,22,42
	0,22,42
	0,22,48
net894	The number of pins: 4
	0,21,48
	0,24,49
	0,24,49
	0,24,52
net895	The number of pins: 3
	0,24,52
	0,24,51
	0,26,53
net896	The number of pins: 4
	0,24,52
	0,25,54
	0,26,54
	0,26,56
net897	The number of pins: 4
	0,26,56
	0,25,55
	0,25,56
	0,26,55
net898	The number of pins: 4
	0,27,43
	0,26,45
	0,26,44
	0,27,43
net899	The number of pins: 4
	0,28,41
	0,26,42
	0,26,41
	0,25,43
net900	The number of pins: 4
	0,27,39
	0,27,39
	0,21,41
	0,21,39
net901	The number of pins: 4
	0,39,36
	0,41,36
	0,39,36
	0,38,37
net902	The number of pins: 4
	0,37,36
	0,39,35
	0,39,36
	0,39,36
net903	The number of pins: 4
	0,40,30
	0,42,30
	0,39,28
	0,39,30
net904	The number of pins: 4
	0,41,29
	0,41,30
	0,40,30
	0,41,30
net905	The number of pins: 4
	0,49,36
	0,48,36
	0,47,42
	0,47,43
net906	The number of pins: 4
	0,27,33
	0,30,34
	0,30,36
	0,27,37
net907	The number of pins: 3
	0,30,36
	0,29,36
	0,26,37
net908	The number of pins: 4
	0,29,36
	0,27,36
	0,31,36
	0,29,35
net909	The number of pins: 4
	0,36,33
	0,35,33
	0,37,33
	0,35,33
net910	The number of pins: 4
	0,33,34
	0,36,34
	0,35,33
	0,37,37
net911	The number of pins: 4
	0,47,28
	0,47,29
	0,48,28
	0,43,30
net912	The number of pins: 4
	0,13,49
	0,15,50
	0,13,49
	0,15,54
net913	The number of pins: 4
	0,32,20
	0,32,21
	0,30,21
	0,29,22
net914	The number of pins: 4
	0,33,22
	0,34,21
	0,32,22
	0,32,23
net915	The number of pins: 4
	0,35,25
	0,35,26
	0,35,25
	0,33,29
net916	The number of pins: 4
	0,35,24
	0,31,24
	0,32,25
	0,34,25
net917	The number of pins: 4
	0,24,18
	0,20,18
	0,21,18
	0,22,18
net918	The number of pins: 4
	0,17,21
	0,15,20
	0,15,20
	0,17,20
net919	The number of pins: 4
	0,16,30
	0,16,31
	0,17,31
	0,17,32
net920	The number of pins: 4
	0,16,24
	0,16,27
	0,16,26
	0,16,27
net921	The number of pins: 4
	0,15,27
	0,15,27
	0,17,36
	0,17,35
net922	The number of pins: 4
	0,21,40
	0,20,42
	0,21,42
	0,21,42
net923	The number of pins: 4
	0,21,39
	0,20,42
	0,21,43
	0,21,53
net924	The number of pins: 4
	0,20,52
	0,21,53
	0,23,53
	0,27,51
net925	The number of pins: 4
	0,30,51
	0,26,51
	0,30,51
	0,28,51
net926	The number of pins: 4
	0,26,52
	0,29,51
	0,30,51
	0,30,52
net927	The number of pins: 4
	0,29,53
	0,28,52
	0,30,53
	0,39,54
net928	The number of pins: 4
	0,38,54
	0,38,54
	0,39,55
	0,39,56
net929	The number of pins: 4
	0,39,50
	0,39,51
	0,40,50
	0,40,50
net930	The number of pins: 4
	0,39,47
	0,38,49
	0,38,50
	0,38,50
net931	The number of pins: 4
	0,37,45
	0,38,46
	0,38,47
	0,38,46
net932	The number of pins: 4
	0,29,13
	0,30,13
	0,31,13
	0,31,12
net933	The number of pins: 4
	0,30,12
	0,30,12
	0,31,13
	0,31,14
net934	The number of pins: 4
	0,29,14
	0,30,15
	0,29,13
	0,27,18
net935	The number of pins: 4
	0,29,15
	0,29,15
	0,30,16
	0,28,18
net936	The number of pins: 4
	0,50,36
	0,50,38
	0,49,44
	0,49,42
net937	The number of pins: 4
	0,20,41
	0,19,40
	0,20,41
	0,21,42
net938	The number of pins: 4
	0,26,48
	0,26,48
	0,25,49
	0,24,49
net939	The number of pins: 4
	0,26,47
	0,23,48
	0,23,48
	0,23,48
net940	The number of pins: 4
	0,27,38
	0,27,38
	0,28,37
	0,28,38
net941	The number of pins: 4
	0,27,34
	0,26,38
	0,26,37
	0,22,38
net942	The number of pins: 4
	0,26,33
	0,26,33
	0,26,34
	0,27,33
net943	The number of pins: 4
	0,29,25
	0,38,25
	0,38,26
	0,38,26
net944	The number of pins: 4
	0,37,25
	0,37,26
	0,37,25
	0,37,26
net945	The number of pins: 4
	0,39,30
	0,41,33
	0,41,33
	0,39,33
net946	The number of pins: 4
	0,37,29
	0,38,30
	0,38,31
	0,38,31
net947	The number of pins: 4
	0,59,35
	0,59,36
	0,60,38
	0,61,40
net948	The number of pins: 4
	0,20,37
	0,20,39
	0,20,39
	0,24,39
net949	The number of pins: 4
	0,19,39
	0,24,38
	0,19,39
	0,20,45
net950	The number of pins: 4
	0,19,45
	0,20,47
	0,23,47
	0,13,48
net951	The number of pins: 3
	0,14,48
	0,13,49
	0,12,56
net952	The number of pins: 4
	0,11,55
	0,12,56
	0,12,56
	0,13,54
